RC,UFI,UNI,DLAT,DLONG,LAT,LONG,MGRS,UTM,JOG,FC,DSG,PC,CC1,ADM1,ADM2,DIM,CC2,NT,LC,SHORT_FORM,GENERIC,SORT_NAME,FULL_NAME,FULL_NAME_,NEWDLAT,NEWDLONG
"3","-2035461","-2827087",11.08750000000,42.10250000000,"110515","420609",38PJT8343427196,JT82,NC38-01,H,WLL,"0",DJ,"2","0","0",,V,,,,HARUIDE,Haruïde,Haruide,11.08610556000,42.09884978000
"3","-2035506","-2827084",11.99694440000,43.02722220000,"115949","430138",38PKU8520426986,KU82,NC38-01,H,WLL,"0",DJ,"4","0","0",,N,,,,HARSAALAL,Harsa Alal,Harsa Alal,11.99007871000,43.01898791000
"3","-2035501","-2827078",12.54944440000,42.84638890000,"123258","425047",38PKU6599588268,KU68,ND38-13,H,WLL,"0",DJ,"0","0","0",DJ,N,,,,HARROUG,Harroûg,Harroug,12.55731064000,42.84355145000
"3","-2035494","-2827071",11.39361110000,42.44444440000,"112337","422640",38PKT2111260732,KT26,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HAROGALI,arôgali,Harogali,11.39397383000,42.43614145000
"3","-2035485","-2827061",11.87333330000,42.65472220000,"115224","423917",38PKU4451113624,KU41,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HARID,arid,Harid,11.86712915000,42.64678060000
"3","-2035467","-2827042",11.35000000000,42.41666670000,"112100","422500",38PKT1803655932,KT15,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,,HARARAGARO,Hararagaro,Hararagaro,11.35174070000,42.42477361000
"3","-2035463","-2827037",11.98138890000,42.29833330000,"115853","421754",38PKU0577925937,KU02,NC38-01,H,WLLS,"0",DJ,"0","0","0",,N,,,,HARALE,Hâralé,Harale,11.97388351000,42.30276522000
"3","-2035461","-2827035",11.08750000000,42.10250000000,"110515","420609",38PJT8343427196,JT82,NC38-01,H,WLL,"0",DJ,"2","0","0",,N,,,,HARAIDE,Hâra¯ide,Hara`ide,11.08683606000,42.10391620000
"3","-2035459","-2827030",12.35083330000,42.48277780000,"122103","422858",38PKU2625666636,KU26,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HANTIBARRA,anti Barra,Hanti Barra,12.35784722000,42.47934247000
"3","-2035454","-2827021",12.06277780000,42.24750000000,"120346","421451",38PKU0032935002,KU03,ND38-13,H,WLL,"0",DJ,"0","0","0",,V,,,,HANKOBLIS,Hankoblis,Hankoblis,12.07063376000,42.24623022000
"3","-2035454","-2827020",12.06277780000,42.24750000000,"120346","421451",38PKU0032935002,KU03,ND38-13,H,WLL,"0",DJ,"0","0","0",,N,,,,HANKOBDIS,ankob£is,Hankobdis,12.05807253000,42.25339141000
"3","-2035453","-2827019",11.71638890000,42.71416670000,"114259","424251",38PKT5084896203,KT59,NC38-01,H,WLL,"0",DJ,"0","0","0",,N,,,¯Êla,HANKATTIELA,ankatti ¯Êla,Hankatti `Ela,11.71121568000,42.71365615000
"3","-2035453","-2827017",11.71638890000,42.71416670000,"114259","424251",38PKT5084896203,KT59,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,HANKATIEYLA,Han-kati-'Eyla,Han-kati-'Eyla,11.71168191000,42.71426382000
"3","-2035453","-2827016",11.71638890000,42.71416670000,"114259","424251",38PKT5084896203,KT59,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,HANKATIELA,Hankati Ela,Hankati Ela,11.71583994000,42.72037389000
"3","-2035406","-2826992",11.18916670000,42.67472220000,"111121","424029",38PKT4607637897,KT43,NC38-01,H,WLL,"0",DJ,"0","0","0",,V,,,,HANBOKTO,Hanbokto,Hanbokto,11.19273481000,42.67866250000
